aal;угорь
liste;список,ведомость
listig;хитрый,лукавый
liter;литр
literarisch;литературный,писательский
literatur;литература
liturgie;литургия,богослужение
loben;хвалить
lobenswert;похвальный
loch;дыра,дырка,отверстие,дупло,нора
lochen;пробивать отверстия,перфорировать
lochkarte;перфокарта
locke;локон,завиток,кудри
locken;манить,заманивать,завлекать
locken haar;завивать
lockenwickel m;бигуди
locker;рыхлый,шаткий
lockern;ослаблять,расшатывать,расслаблять
lockig;курчавый,кудрявый,вьющийся
lodern;пылать,полыхать
logisch;логический,логичный
lohn;заработная плата,зарплата,вознаграждение
lokal;местный
lokomotive;локомотив
lorbeer;лавр,лавровое дерево,лавровый лист
lore;платформа,вагонетка
losbinden;отвязывать,развязывать
lose;расшатанный,незакрепленный,нерасфасованный
loslassen;отпускать,выпускать
losung f;пароль
loswerden;отделываться,избавляться,сбывать с рук
lotion;лосьон
lotterie;лотерея
lotto;лотерея,лото
loyalität;лояльность
luchs;рысь
luft;воздух
luftdicht;герметический,воздухонепроницаемый
luftfahrt f;авиация
luftig;полный воздуха и света,воздушный,о платье
luftkissen;надувная подушка
luftpost f;авиапочта
luftröhre;трахея,дыхательное горло
luftschiff;дирижабль
luftstützpunkt m;авиабаза
luftzug;сквозняк
lunge;легкое
lupe;лупа
lust;желание,удовольствие
lustig;веселый,забавный,смешной
lustlos;безучастный,безразличный,неохотно
luxuriös;роскошный
luxus;роскошь
lymphatisch;лимфатический
lynchen;линчевать
lyrik;лирика,лирическая поэзия
lyrisch;лирический
lächeln;улыбаться
lächerlich;смешной,забавный
lähmen;парализовать
ländlich;сельский,деревенский
länge;длина,продолжительность
längs;вдоль
lärche;лиственница
lärm;шум
lärmen;шуметь,поднимать шум
lästern;злословить,судачить,клеветать
lästig;надоедливый,назойливый,докучливый
läufer m;бегун,лыжник
löffel;ложка
lösbar;разрешимый,растворимый
löschen;тушить,гасить,стирать запись,аннулировать
lösegeld;выкуп
lösen;развязывать,снимать,отвинчивать,решать
löslich;растворимый
lösung;решение,разгадка,расторжение
lösungsmittel;растворитель
löt;отвес,лот,перпендикуляр
löten;паять,запаивать
lötlampe;паяльная лампа
löwe;лев
löwenzahn;одуванчик
lüfter;вентилятор
lüftungs;проветривание
lüge;ложь
lügen;лгать,врать
lügner;лгун,обманщик,врун
lüstern;похотливый,сладострастный
machen;делать
macht;сила,мощь,власть,держава,государство
machtlos;бессильный
made;личинка,червячок
magazin;склад,хранилище,обойма,журнал
magen;желудок,живот
mager;постный,нежирный,худой,тощий,скудный
magisch;магический,волшебный,таинственный
magnet;магнит
magnetband;магнитная лента
magnetisch;магнитный
magnolie;магнолия
mahagoni;красное дерево
mahlen;молоть
mahlzeit;пища,еда
mahnen;напоминать,предупреждать,предостерегать
mahnung;напоминание,предостережение,предупреждение
mai;май
mais;кукуруза
majestätisch;величественный,величавый
major;майор
makler;маклер
mal;раз
mama;мама
manager;менеджер
manch;иной,некоторый
manchmal;иногда,порой
mandelentzündung;воспаление миндалин,тонзиллит,ангина
mangel;недостаток,дефицит,нехватка
mangelhaft;недостаточный
mann;мужчина,человек,муж
mannschaft;экипаж
mantel;пальто,плащ,шинель,корпус
mappe;папка,портфель
marder;куница
marine;военно-морской флот
marionettentheater;театр марионеток,кукольный театр
mark f;марка,деньги
mark n;костный мозг,спинной мозг,сердцевина,мякоть
marke;марка,почтовая,клеймо,жетон,сорт
markieren;отмечать,помечать,обозначать
markt m;базар,рынок
marmelade;джем,повидло
marmor;мрамор
marsch;марш,поход
masche;петля,вязанья,ячейка,ячея
maschine;машина,станок
maschinenbau;машиностроение
maschinengewehr;пулемет
maschinist;машинист,механик
masern;корь
maske;маска
maskerade;маскарад,костюмированный бал
masse;масса,множество,большое количество
massig;объемистый,огромный,массивный
massiv;массивный,прочный
mast;мачта,телеграфный столб
material;материал,сырье
materialismus;материализм
materiell;материальный,экономический
mathematik;математика
mathematisch;математический
matratze;матрас
matsch;слякоть
matschig;слякотный,талый,снег
matt;слабый,вялый,усталый,матовый,тусклый
matte;циновка,коврик,половик,мат
mauer;стена
mauern;строить из кирпича,производить кладку
mauerwerk;каменная кладка,каменная стена
maulwurf;крот
maurer;каменщик
maus;мышь
mausefalle;мышеловка
mausern;линять
maximal;максимальный,максимально,максимум
mayonnaise;майонез
maß;мера,мерка,размер
maßeinheit;единица измерения
maßnahme;мероприятие,мера
maßstab;масштаб
mechanik;механика,механизм
mechaniker;механик
mechanisch;механический,машинный,машинальный
mechanismus;механизм
meckern;блеять,брюзжать,канючить
medaille;медаль
medikament;лекарство,медикамент
meditieren;предаваться размышлениям,размышлять
medizin;медицина
medizinisch;медицинский,врачебный,лечебный
meer;море
meerrettich;хрен
mehl;мука
mehr;больше,более
mehrdeutig;многозначный,неоднозначный
mehrere;несколько,некоторый,различный
mehrheit f;большинство
mehrwert;прибавочная стоимость
meiden;избегать,сторониться,уклоняться
meile;миля
mein;мой,свой
meine;мое,свое
meinen;думать,считать,полагать,иметь в виду
meinung;мнение
meinungsverschiedenheiten;разногласия,расхождения во мнениях
meist;наибольший
meistens;большей частью,чаще всего
meister;мастер,специалист,знаток,чемпион
meisterschaft;мастерство,умение,первенство,соревнования
meißel;резец,зубило,долото
meißeln;выдалбливать,высекать,долбить
melancholisch;меланхоличный
melden;сообщать,извещать,докладывать
meldung;сообщение,извещение,сведения
melken;доить
melodie;мелодия,мотив
melodisch;мелодичный,благозвучный
melone;дыня,арбуз
membran;мембрана,диафрагма,перепонка
menge;множество,большое количество
mengen;смешивать,перемешивать
mensch;человек
menschenfeind;человеконенавистник,мизантроп
menschenleer;безлюдный,пустынный
menschenschlag;тип людей
menschheit;человечество
menschlich;человеческий,человечный,гуманный
menschlichkeit;человечность,гуманность
mentalität;склад ума,психология,менталитет
merkbar;заметный
merken;замечать,понимать,чувствовать
merklich;заметный,ощутимый,значительный
merkmal;признак,примета,отличительная черта
merkwürdig;странный,удивительный
messe;месса,богослужение,обедня
messe handel;ярмарка
messen;мерить,измерять
messer;нож
messing;латунь
messung;измерение,обмер,данные измерений
met;мед,напиток
metall;металл
metallisch;металлический
metallurgie;металлургия
metaphysisch;метафизический
metastase;метастаз
meteor;метеор
meteorologie;метеорология
meter;метр
methode;метод
methodisch;методичный,методический
meuterei;мятеж,бунт
meutern;бунтовать,поднимать бунт
mexikanisch;мексиканский
meßgerät;измерительный прибор
miauen;мяукать
mich;меня,мне
midi;миди,длина одежды
mieder;корсаж,лиф
miene f;выражение лица
miete f;аренда,квартирная плата,квартплата
mieten;снимать,квартиру,арендовать,брать напрокат
mieter;жилец,квартирант,квартиросъемщик
mikrofilm;микрофильм
mikrophon;микрофон
mikroskop;микроскоп
mikroskopisch;микроскопический
milbe;клещ
milch;молоко
milchig;молочный,молочного цвета
mild;мягкий
mildern;смягчать,облегчать
militarismus;милитаризм
militär f;армия,войска,вооруженные силы
militärisch;военный,воинский,по-военному
miliz;милиция
milliarde;миллиард
milligramm;миллиграмм
millimeter;миллиметр
million;миллион
milz;селезенка
mimik;мимика
mimisch;мимический
minderheit;меньшинство
minderjährig;несовершеннолетний
minderwertig;недоброкачественный,низкосортный
mindest;минимальный,наименьший
mindestmaß;минимум,минимальный размер
mineral;минерал,ископаемые
mineralogie;минералогия
mini;мини,длина одежды
minimal;минимальный
ministerium;министерство
minus;минус
minute;минута
minze;мята
mischen;смешивать,тасовать
mischling;метис,гибрид,помесь
mischung;смесь
mist;навоз,помет,дрянь,барахло,ерунда
mit;вместе с,на
mitarbeiter m;сотрудник
mitbringen;приносить
mitfühlen;сочувствовать
mitgefühl;сочувствие
mitglied;член,организации
mitleid;жалость,сострадание
mitleidlos;безжалостный
mittag;полдень,обеденный перерыв
mittagessen;обед
mitte;середина
mitteilen;сообщать,передавать
mittel;средство
mittelalter;средние века,средневековье
mittelmäßig;посредственный,неважный
mittelpunkt;центр
mittelsmann;посредник
mitten in;среди,посреди
mittler;посредник
mittlere;средний
mittwoch;среда,день недели
mißachten;не уважать,пренебрегать
mißbildung;уродство,безобразие,деформация
mißbilligen;не одобрять,порицать
mißbrauchen;злоупотреблять
mißdeuten;ложно истолковывать
mißerfolg;неудача,провал
mißfallen;не нравиться
mißgeschick;неудача,несчастье
mißgönnen;позавидовать
mißhandeln;жестоко обращаться
mißklang;диссонанс,разлад
mißlingen;не удаваться
mißmutig;недовольный,угрюмый
mißstand;неудовлетворительн,состояние,непорядки
mißton;диссонанс
mißtrauisch;недоверчивый,подозрительный
mißverhältnis;несоответствие,диспропорция
mißverstehen;неправильно понимать
mißverständnis;недоразумение
mißwirtschaft f;бесхозяйственность
mobil;подвижный,живой
mobilisieren;мобилизировать,привести в боевую готовность
mode;мода
modell;модель,образец
modern;модный,современный
modernisieren;модернизировать
modi;режимы,техн
modifizieren;модифицировать,видоизменять
modisch;модный,по моде
modus;способ,режим
molekül;молекула
molke;сыворотка,молочная
molkerei;молочный завод
mollig;теплый,мягкий
moment;момент
momentan;теперешний,нынешний
monat;месяц
monatlich;ежемесячный
mond;луна
mondschein;лунный свет
monoton;монотонный,однообразный
monsun;муссон
montag;понедельник
montage;монтаж,сборка
monteur m;монтер,сборщик
montieren;монтировать,собирать
moor n;болото
moos;мох
moralisch;моральный,нравственный
morast m;болото,трясина,грязь
mord;убийство
morgen;утро
morgen;завтра
morgendämmerung;рассвет
morgenrock;халат,пеньюар
mosaik;мозаика
moschee;мечеть
motel;мотель
motiv;мотив,довод,повод,тема,сюжет
motivieren;мотивировать,обосновывать
motor;мотор,двигатель
motorboot;моторная лодка,катер
motte;моль
muffig;затхлый,спертый
mulatte;мулат
mull;марля
mund;рот
munition;боеприпасы
munter;бодрый,веселый
munterkeit f;бодрость
murmeln;бормотать,журчать
murmeltier;сурок
murren;ворчать,роптать
mus;пюре
muschel;раковина,ракушка,телефонная трубка
museum;музей
musik;музыка
musikalisch;музыкальный
musiker;музыкант
muskel;мускул,мышца,мускулатура
muskulös;мускулистый
muster;узор,рисунок,образец
mut;мужество,смелость
mutig;смелый,мужественный
mutlos;малодушный,унылый
mutlosigkeit;малодушие,уныние
mutter;мать,мама
muttermal;родимое пятно,родинка
mutterschaft;материнство
mutwillig;резвый,озорной,преднамеренный
muße;свободное время,досуг
mystik;мистика
mystisch;мистический
mythos;миф
mächtig;могущественный,могучий,мощный
mädchen;девочка,девушка
mähen;косить,жать
männlich;мужской,мужественный,возмужалый
märchenbuch;сборник сказок,сказки
märchenhaft;сказочный,волшебный,чудесный
märtyrer;мученик
märz;март
mäßig;умеренный,воздержанный,средний
möbel n;мебель
mögen;глагол
möglich;возможный,вероятный
möglichkeit;возможность,шанс
möhre;морковь,морковка
mönch;монах
mörder m;убийца
mörderisch;смертоносный,убийственный,кровопролитный
mörtel;строительный раствор
möwe;чайка
mücke;комар
mühelos;без труда,без усилий
mühle;мельница
mühsam;трудный,тягостный,кропотливый
müller;мельник
müllschlucker;мусоропровод
münden;впадать,о реке
mündung;устье,дуло
münze;монета
mürbe;истлевший,трухлявый,рассыпчатый
mürrisch;ворчливый,брюзгливый,угрюмый
müssen;глагол
mütterlich;материнский
mütze;шапка,фуражка
müßig;праздный,бесцельный,бессмысленный
müßiggänger m;бездельник,лентяй,тунеядец
na;ну
nabel;пупок
nach;на,после,за
nachahmen;подражать
nachahmung;подражание,подделка
nachbar;сосед
nachdenken;думать,обдумывать
nachdenklich;задумчивый
nachdruck;перепечатка,переиздание
nachdrücklich;настоятельно,убедительно
nacheifern;равняться на кого-л
nachfolger;следовать за,быть преемником
nachgebend;поддаваться,уступать
nachkomme;потомок
nachlassen;стихать,утихать,спадать
nachlaß;наследство,наследие
nachlässig;небрежный,неряшливый,нерадивый
nachricht;известие,сообщение
nachrichten;новости,последние известия
nachsicht;снисхождение
nachsichtig;снисходительный
nacht;ночь
nachteil;убыток,ущерб,недостаток
nachteilig;убыточный,невыгодный
nachtisch;десерт,сладкое
nachwort;послесловие
nachziehen;тащить за собой,волочить,тянуться
nachäffen;передразнивать,обезьянничать
nacken;затылок
nackt;нагой,голый,обнаженный
nadel;иголка,игла,булавка,спица
nadelwald m;бор
nagel;гвоздь,ноготь
nageln;прибивать гвоздями
nagen;глодать,обгладывать,грызть
nagetier;грызун
nah;ближний
nahe;близ,около,возле
nahegelegen;близлежащий
nahelegen;рекомендовать,настоятельно
nahezu;почти
nahrhaft;питательный
nahrung;пища,питание
nahrungsmittel;продукты питания,пищевые продукты
naht;шов,стык
naiv;наивный
name;имя,фамилия,название
namenlos;неизвестный,безымянный
namens;по имени,по фамилии
namentlich;поименно,особенно,главным образом
narkose;наркоз
narkotisieren;наркотизировать,обезболивать
narr;дурак,чудак,глупец
narzisse;нарцисс
nasal;носовой
nase;нос
nasenbluten;кровотечение из носа
nasenloch;ноздря
nashorn;носорог
nation;нация
national;национальный
nationalität;национальность
natter;уж,змея
naturgemäß;естественный
natürlich;естественный,природный,конечно,разумеется
nebel;туман
nebelhaft;туманный,смутный,неясный
nebelig;туманный
neben;около,рядом,кроме,наряду с
nebenan;радом,поблизости,по соседству
nebenanschluß;параллельный телефон
nebeneinanderstellen;ставить рядом,сопоставлять
nebensächlich;второстепенный,несущественный
neblig;туманный
necken;поддразнивать,подтрунивать
neffe;племянник
negation;отрицание
negativ;отрицательный,негативный
neger;негр
negieren;отрицать
nehmen;брать,взять,отнять
neid;зависть
neidisch;завистливый
neigen;наклонять,склонять,иметь склонность
neigung;наклон,склон,склонность
nein;нет
nelke;гвоздика
nennen;называть,звать,давать имя
nennenswert;достойный упоминания
nenner math;знаменатель
nennung;название
nerv;нерв,нервная система
nervosität;нервность,нервозность
nervös;нервный,раздражительный,нервозный
nerz;норка,зверек,мех норки,норковая шуба
nessel;крапива
nest;гнездо
nett;милый,симпатичный,приятный,хорошенький
netz;сеть,сетка
netzförmig;сетчатый,в виде сети
netzhaut;сетчатка,сетчатая оболочка глаза
neu;новый
neuartig;новый,нового типа,новой конструкции
neuerdings;в последнее время,с недавних пор
neugierde;любопытство
neugierig;любопытный
neuheit;новизна,новинка,новшество
neuigkeit;новость
neujahr;новый год
neulich;недавно,на днях
neuling m;новичок
neun;девять
neunzig;девяносто
neuralgie;невралгия
neurasthenie;неврастения
neurose;невроз
neurotisch;невротический
neutral;нейтральный
neutralisieren;нейтрализовать
neutralität;нейтралитет,невмешательство,нейтральность
neutrum;средний род
nicht;не,ни
nicht abgeneigt zu;не прочь,сделать что-л
nichte;племянница
nichtig;ничтожный,незначительный,недействительный
nichtigkeit;ничтожность,незначительность,недействительность
nichts;ничего
nichtsdestoweniger;несмотря на это,тем не менее
nickel;никель
nie;никогда
nieder;долой,прочь
niedergeschlagen;подавленный,удрученный
niederlage;поражение
niederreißen;сносить,ломать,сбивать с ног
niederschlag;осадки
niederschlagen;сбивать с ног,послать в нокдаун,нокаутировать
niedlich;миловидный,хорошенький,изящный
niedrig;низкий,невысокий,небольшой
niemals;никогда,ни разу
niere;почка,анат
niesen;чихать
niete;пустой билет,в лотерее
nieten;клепать,соединять заклепками
nilpferd n;бегемот
nirgends;нигде,негде
nirgendwo;нигде,негде
nische;ниша
nisten;гнездиться,вить гнезда
niveau;уровень
nixe;русалка
noch;еще
nochmals;еще раз,вторично,снова
nonnenkloster;женский монастырь
nord;север
norden;север
nordosten;северо-восток,северо-восточный
nordwest;северо-запад,северо-западный
nordwesten;северо-запад
nordwestlich;северо-западный,северо-западнее
nordöstlich;северо-восточный,северо-восточнее
norm;норма
normal;нормальный,обычный,как обычно
normalerweise;обычно
normalisieren;нормализовать
normativ;нормативный
norweger;норвежец
norwegisch;норвежский
not;нужда,необходимость
notar;нотариус
notariell;нотариальный
note f;ноты,оценка,отметка,балл
notfalls;в крайнем случае,если потребуется
notieren;записывать,для памяти
notiz f;запись,пометка,заметка
notizblock m;блокнот
notlage;затруднительное положение,затруднения
notlanden;посадку
notwendig;необходимый,нужный,неизбежный
notwendigerweise;по необходимости,неизбежно
notwendigkeit;необходимость,неизбежность
novelle;новелла,рассказ
november;ноябрь
nuklear;ядерный
null;ноль,нуль
numerieren;нумеровать
numerisch;числовой,численный,цифровой
nummer;номер,размер,одежды
nun;теперь,ну
nur;только,лишь
nutzbar;полезный,пригодный
nutzlos;бесполезный,напрасный,тщетный
nuß;орех
nußknacker;щипцы для орехов,щелкунчик
nylon;нейлон
nächst;ближайший
nächste;следующий
nähe f;близость,по месту
nähen;шить,пришивать
näher;более подробный,детальный
nährmittel pl;бакалея
nährstoffe;питательные вещества
närrisch;глупый,дурацкий,сумасбродный
nördlich;северный
nörgeln;придираться,брюзжать
nörgler m;брюзга
nötig;нужный,необходимый
nüchtern;трезвый,здравый
nützen;быть полезным,использовать
nützlich;полезный
ob;ли
oben;наверху,вверху
obenauf;наверху,сверху
ober;официант
obere;верхний
oberfläche;поверхность
oberflächlich;поверхностный
oberschenkel m;бедро
obgleich;хотя,несмотря на то что
objektiv phot;объектив
obst;фрукты,плоды
obwohl;хотя,несмотря на то что
ochse;вол
oder;или
ofen m;печь,печка
ofenrohre;духовка
offenbar;очевидный,явный
offensichtlich;явный,очевидный
offizier;офицер
oft;часто
ohne;без,кроме
ohne daß;хотя и не,без того чтобы
ohnmacht;обморок,бессилие
ohnmacht f;беспамятство
ohr;ухо
oktober;октябрь
oma f;бабушка
onkel;дядя
opa;дед
operation;операция
orangen;апельсиновый
orden;орден
ordentlich;аккуратный,порядочный,честный
original;оригинал,подлинник
orkan;ураган
osten;восток
ostern;пасха
ostwärts;на восток
otter;гадюка
ouvertüre;увертюра,вступление
oval;овальный
oxid;окись
oxyd;оксид,окись,окисел
oxydieren;окисляться,окислять,оксидировать
ozon;озон
paar;пара
pacht f;аренда,арендная плата
packen;паковать,упаковывать,укладывать
paddelboot n;байдарка
paket;пакет,сверток,посылка
pampelmuse;грейпфрут
panieren;панировать,обваливать в сухарях
panne f;авария
panther m;барс,зоол
pantoffeln;шлепанцы
panzer;танк,броня,панцирь
panzerabwehr;противотанковая оборона
papi;папа
papier f;бумага
papierwaren;канцелярские товары
pappe;картон
parallel;параллель
parallel;параллельный
partei;партия
partie;часть чего-л,партия
partner;партнер,компаньон
passen;быть как раз,быть впору,быть к лицу
patrone;патрон,кассета,фото
pause;пауза,перерыв,антракт
pause kopie;светокопия
peinlich;неприятный,педантичный
peitsche f;бич,кнут,хлыст,плеть
pelz;шкура,мех,шуба
pendel;маятник
pension;пенсия
periodisch;периодический
perle;жемчужина,жемчуг,бусинка
perlen;стекать каплями,капать
perlmutt;перламутр
person;человек,персона,личность
personal;персонал,штат,работники
pervers;извращенный,противоестественный
perücke;парик
pfand;залог
pfanne;сковорода,противень
pfannkuchen;блин
pfeife;свисток,дудка,трубка
pfeifen;свистеть,насвистывать
pfeil;стрела
pferd;лошадь,конь
pferdestärke;лошадиная сила
pfiff;свист,хитрость,трюк,уловка
pflaster;пластырь
pflasterstein m;булыжник
pflege;уход,за,забота
pflegekind;приемный ребенок
pflegen;ухаживать,следить,заботиться
pflicht;долг,обязанность
pflichtbewußt;сознающий свой долг,сознательный
pflücken;рвать,срывать,собирать,цветы плоды
pfund;фунт,полкило,пятьсот грамм
pfuschen;халтурить,небрежно работать
pfütze;лужа
phantasie;фантазия,воображение
phantastisch;фантастический,невероятный
piepen;пищать,чирикать
pikant;пикантный,острый
pille;таблетка
pilz;гриб
pinsel;кисть,кисточка
pistole;пистолет
plagen;мучить,надоедать,докучать
plan;план,проект
planen;планировать,намечать,задумывать
planieren;выравнивать почву
planierraupe f;бульдозер
planmäßig;планомерный
planschen;плескаться
planung;планирование
plast;пластмасса
plaste;пластик
platte;плита,из камня,грампластинка,блюда,посуда
platz;площадь,площадка
platzanweiserin f;билетерша
platzen;лопаться,лопнуть,треснуть,разрываться
platzkarte;плацкарта
plaudern;болтать,проболтаться
plinse f;блин
plump;неуклюжий,нескладный,бестактный
plumpsen;шлепнуться,плюхнуться
plunder m;барахло,рухлядь,рвань,хлам
plötzlich;внезапный,неожиданный
plündern;грабить,разграблять
podium;помост,подмостки,эстрада
pokal m;бокал,кубок
polieren;полировать,шлифовать
politik;политика
polizei;полицейский
polizist;полицейский,полисмен
polster;обивка,подушка,валик дивана
poltern;громыхать
portier;швейцар
porzellan;фарфор
position;позиция,расположение,местоположение
posse;фарс
post;почта
posten;пост,должность
pracht;великолепие,роскошь,пышность
prahlen;хвастаться,хвалиться
prasseln;трещать,потрескивать
predigt;проповедь
preis;цена
preiselbeere f;брусника
preisen;восхвалять,превозносить
preisrichter;член жюри
preisträger;лауреат,призер
prellen;наскочить,сильно удариться
pressen;жать,сжимать,прессовать
prima;великолепный,отличный,замечательный
prinzipiell;принципиальный
probe;проверка,испытание,репетиция
problem;проблема,трудности,сложности
programm;программа
promovieren;получать ученую степень,защищать диссертацию
prophezeien;пророчить,предсказывать
protokoll;протокол,акт
prozeß;процесс,ход развития
prächtig;великолепный,прекрасный,замечательный
prägen;чеканить,тиснить,формовать
prägnant;меткий,точный,четкий
prämie;премия
präsident;президент
präsidium;президиум
prüfen;проверять,испытывать,контролировать
prüfung;проверка,испытание,экзамен
prügeln;бить,колотить,избивать
pseudonym;псевдоним
pubertät;половое созревание
publikum;публика
publizieren;публиковать,опубликовать
puffer f;буфер,амортизатор
pullover;пуловер,свитер
puls;пульс
pulsieren;биться,пульсировать
pult;пульт,пюпитр
pulverisieren;растирать в порошок
pumpe;насос
pumpen;качать,насосом
punkt;точка,пункт
pupille;зрачок
puppe;кукла,куколка
purpurrot;багровый
putz m;штукатурка
putzen;чистить,мыть,протирать
putzfrau;уборщица
pyramide;пирамида
pünktlich;пунктуальный,точный,аккуратный
püree;пюре
quadrat;квадрат
qual;мучение,мука
qualifizieren;обучать,давать квалификацию
qualifiziert;квалифицированный
qualität;качество,свойство
qualle;медуза
qualm;дым,чад
qualvoll;мучительный
quantität;количество
quarantäne;карантин
quark;творог
quarz;кварц
quatsch;ерунда,чепуха,глупость
quecksilber;ртуть
quelle;источник,ключ,ручей,родник
quer;поперек
quetschen;давить,мять,разминать,прищемить
quieken;пищать,визжать
quietschen;скрипеть
quitte;айва
quittung;квитанция,расписка
quiz;викторина,концерт-загадка
quote;квота,доля,взнос
quotient;частное
quälen;мучить,терзать
rabatt m;скидка
rabbiner;раввин
rabe;ворон
rabiat;бесцеремонный,грубый
rache f;месть,возмездие,отмщение
rachitis;рахит
rachsüchtig;мстительный
rad;колесо,велосипед
radar;радиолокация,радиолокатор,радар
radau machen;буянить
radfahrer;велосипедист
radial;радиальный,лучевой,лучеобразный
radieren;стирать,резинкой,гравировать
radiergummi;ластик,резинка для стирания
radierung;гравюра,офорт,гравирование
radieschen;редиска,редис
radikal;радикальный,решительный
radio;радио,радиоприемник,радиовещание
radius;радиус
raffiniert;изысканный,утонченный,изощренный
rahmen;рама,рамка
rakete;ракета
rampe;рампа,пандус
rand;край,рант,ободок,кайма
randgebiet;периферия,окраина
rang;звание,ранг,чин
rangieren;сортировать,вагоны,формировать,состав
ranke;усик,ветвь,побег,растения
ranzig;прогорклый
rapier;рапира
rar;редкий,дефицитный
rasch;быстрый,скорый,проворный,расторопный
rascheln;шелестеть,шуршать
rasen;газон
rasend;неистовый,буйный,бешеный
raserei f;бешенство,перен,буйство
rasierapparat m;бритва,безопасная
rasieren;брить
rasiermesser n;бритва
rasiert;бритый
raspeln;натирать на терке,шинковать
rasse;раса,порода
rasseln;греметь,звенеть,трещать,громыхать
rassig;породистый
rastlos;неутомимый,не знающий покоя
rat;совет
raten;советовать,гадать,отгадывать
rational;рациональный,разумный
rationalisieren;рационализировать
ratschlag;совет
ratte;крыса
rattern;трещать,грохотать,громыхать
raub;грабеж,разбой,похищение
rauben;похищать,красть,грабить
rauch;дым
rauchen;курить,дымить,дымиться
raucher;курильщик,курящий
rauchig;дымный,закоптелый,дымчатый
raufen;выдергивать,рвать,щипать
rauh;шершавый,шероховатый
rauhreif;изморозь,иней
raum;комната,помещение,пространство
raumschiff;космический корабль
raupe;гусеница
rauschen;шуметь,шелестеть,шуршать,журчать
rauschgift;наркотик
razzia;облава
reagieren;реагировать,обращать внимание
rechenmaschine;счетная машина,арифмометр
rechnen;считать,вычислять
rechner;вычислительная машина,калькулятор
rechnung;счет
recht;правый,правильный,подходящий
rechtfertigung;оправдание
rechthaberisch;несговорчивый,упрямый,неуступчивый
rechtlich;законный,правовой,юридический
rechtlos;бесправный
rechtmäßig;законный,легальный
rechts;справа
rechtsanwalt m;адвокат
rechtsberater m;юрисконсульт
rechtschaffen;честный,порядочный
rechtspflege;правосудие
rechtsprechung;юрисдикция
recke m;богатырь
recken;вытягивать
rede;речь,разговор
redekunst;красноречие,ораторское искусство
reden;говорить,разговаривать,беседовать
redewendung;оборот речи,выражение
redigieren;редактировать
redner;выступающий,докладчик,оратор
rege;оживленный,деятельный,активный
regel;правило
regeln;регулировать,упорядочивать,улаживать
regelwidrig;неправильный,противоречащий правилам
regen;дождь
regenbogen;радуга
regenguß;ливень
regenmantel;плащ,непромокаемый
regenschirm;зонтик
regentropfen;дождевая капля
regenwurm;червь дождевой
regieren;править,управлять
regierend;правящий
regierung;правительство,правление
regisseur;режиссер,постановщик
regler;регулятор
regnen;идти,о дожде
regnerisch;дождливый
reh;косуля
reibeisen;терка
reiben;тереть,натирать
reibung;трение
reich;государство,империя,царство
reich;богатый
reich werden;богатеть
reiche m;богач
reif;спелый,зрелый
reife;спелость,зрелость
reifen;созревать,зреть
reihe;ряд,серия,шеренга,строй,очередь
reihen;ставить в ряд
reim;рифма,стихи
reimen;рифмовать
reimerei;рифмопл,тство,вирши
rein;чистый
reinheit;чистота
reinigen;чистить
reinigung;чистка,очистка,уборка,химчистка
reinlich;чистый,опрятный,чистоплотный
reinrassig;чистокровный,породистый
reis m;рис
reis n;отросток,побег,растения,росток,веточка
reise;поездка,путешествие
reiseführer;путеводитель
reisegepäck n;багаж
reiten;верховая езда,конный спорт
reiter;всадник,седок,наездник,жокей
reiz;раздражение,прелесть,привлекательность
reizbar;раздражимый,обидчивый
reizend;прелестный,очаровательный
reizlos;непривлекательный
reizvoll;привлекательный,прелестный
reißen;рвать,разрывать,отрывать,срывать
reißverschluß;молния,застежка
relativ;относительный
religion;религия,вероисповедание
rennbahn;гоночный трек,автодром,ипподром
rennen n;гонки,заезд,бега,скачки
rente;пенсия
repräsentant;представитель
reserve;резерв,запас
reservieren;бронировать,резервировать
respektieren;уважать,относиться с уважением
rest;остаток,сдача
restaurant;ресторан
resultat;результат
resultieren;следовать из,вытекать из
retten;спасать
rettich;редька
rettung;спасение
rettungsboot;спасательная шлюпка
revidieren;проверять,контролировать
revolution;революция
revolutionär;революционный
rhabarber;ревень
rhesusfaktor;резус-фактор
rhetorisch;риторический
rhododendron;рододендрон
rhythmisch;ритмичный,ритмический
rhythmus;ритм,ритмичность
richten;направлять,устремлять,адресовать
richter;судья
richtig;правильный,верный,подходящий
richtigkeit;правильность,верность
richtung;направление,курс
riechen;пахнуть,издавать запах,нюхать
riefe;желобок,паз,бороздка,канавка
riegel;задвижка,засов
riemen;ремень,пояс
riesig;гигантский,колоссальный,огромный
rille;желобок,канавка
rinde;кора,корка хлеба
rinder;крупный рогатый скот
ring;кольцо,круг,обруч,перстень
ringelblume;календула,ноготки,цветок
ringen;бороться
ringförmig;кольцеобразный
ringkampf m;борьба
ringsherum;вокруг,кругом,везде,повсюду
rinne;желоб,канавка
rippe;ребро
risiko;риск
riskant;рискованный
riskieren;осмеливаться на,рискнуть,рисковать
ritt;поездка верхом
ritter;рыцарь
rituell;ритуальный,обрядовый
ritus;ритуал,обряд
ritze;щель
rivale;соперник
riß;трещина,щель,разрыв
roboter;робот
robust;крепкий,сильный
rock;юбка
roggen;рожь
roh;сырой,необработанный
rohr;труба,тростник
rolladen;жалюзи
rollbahn;взлетно-посадочная полоса,впп
